DATE,UNRATE
01/01/1948,3.733333333
01/04/1948,3.666666667
01/07/1948,3.766666667
01/10/1948,3.833333333
01/01/1949,4.666666667
01/04/1949,5.866666667
01/07/1949,6.7
01/10/1949,6.966666667
01/01/1950,6.4
01/04/1950,5.566666667
01/07/1950,4.633333333
01/10/1950,4.233333333
01/01/1951,3.5
01/04/1951,3.1
01/07/1951,3.166666667
01/10/1951,3.366666667
01/01/1952,3.066666667
01/04/1952,2.966666667
01/07/1952,3.233333333
01/10/1952,2.833333333
01/01/1953,2.7
01/04/1953,2.566666667
01/07/1953,2.733333333
01/10/1953,3.7
01/01/1954,5.266666667
01/04/1954,5.8
01/07/1954,5.966666667
01/10/1954,5.333333333
01/01/1955,4.733333333
01/04/1955,4.4
01/07/1955,4.1
01/10/1955,4.233333333
01/01/1956,4.033333333
01/04/1956,4.2
01/07/1956,4.133333333
01/10/1956,4.133333333
01/01/1957,3.933333333
01/04/1957,4.1
01/07/1957,4.233333333
01/10/1957,4.933333333
01/01/1958,6.3
01/04/1958,7.366666667
01/07/1958,7.333333333
01/10/1958,6.366666667
01/01/1959,5.833333333
01/04/1959,5.1
01/07/1959,5.266666667
01/10/1959,5.6
01/01/1960,5.133333333
01/04/1960,5.233333333
01/07/1960,5.533333333
01/10/1960,6.266666667
01/01/1961,6.8
01/04/1961,7
01/07/1961,6.766666667
01/10/1961,6.2
01/01/1962,5.633333333
01/04/1962,5.533333333
01/07/1962,5.566666667
01/10/1962,5.533333333
01/01/1963,5.766666667
01/04/1963,5.733333333
01/07/1963,5.5
01/10/1963,5.566666667
01/01/1964,5.466666667
01/04/1964,5.2
01/07/1964,5
01/10/1964,4.966666667
01/01/1965,4.9
01/04/1965,4.666666667
01/07/1965,4.366666667
01/10/1965,4.1
01/01/1966,3.866666667
01/04/1966,3.833333333
01/07/1966,3.766666667
01/10/1966,3.7
01/01/1967,3.833333333
01/04/1967,3.833333333
01/07/1967,3.8
01/10/1967,3.9
01/01/1968,3.733333333
01/04/1968,3.566666667
01/07/1968,3.533333333
01/10/1968,3.4
01/01/1969,3.4
01/04/1969,3.433333333
01/07/1969,3.566666667
01/10/1969,3.566666667
01/01/1970,4.166666667
01/04/1970,4.766666667
01/07/1970,5.166666667
01/10/1970,5.833333333
01/01/1971,5.933333333
01/04/1971,5.9
01/07/1971,6.033333333
01/10/1971,5.933333333
01/01/1972,5.766666667
01/04/1972,5.7
01/07/1972,5.566666667
01/10/1972,5.366666667
01/01/1973,4.933333333
01/04/1973,4.933333333
01/07/1973,4.8
01/10/1973,4.766666667
01/01/1974,5.133333333
01/04/1974,5.2
01/07/1974,5.633333333
01/10/1974,6.6
01/01/1975,8.266666667
01/04/1975,8.866666667
01/07/1975,8.466666667
01/10/1975,8.3
01/01/1976,7.733333333
01/04/1976,7.566666667
01/07/1976,7.733333333
01/10/1976,7.766666667
01/01/1977,7.5
01/04/1977,7.133333333
01/07/1977,6.9
01/10/1977,6.666666667
01/01/1978,6.333333333
01/04/1978,6
01/07/1978,6.033333333
01/10/1978,5.9
01/01/1979,5.866666667
01/04/1979,5.7
01/07/1979,5.866666667
01/10/1979,5.966666667
01/01/1980,6.3
01/04/1980,7.333333333
01/07/1980,7.666666667
01/10/1980,7.4
01/01/1981,7.433333333
01/04/1981,7.4
01/07/1981,7.4
01/10/1981,8.233333333
01/01/1982,8.833333333
01/04/1982,9.433333333
01/07/1982,9.9
01/10/1982,10.66666667
01/01/1983,10.36666667
01/04/1983,10.13333333
01/07/1983,9.366666667
01/10/1983,8.533333333
01/01/1984,7.866666667
01/04/1984,7.433333333
01/07/1984,7.433333333
01/10/1984,7.3
01/01/1985,7.233333333
01/04/1985,7.3
01/07/1985,7.2
01/10/1985,7.033333333
01/01/1986,7.033333333
01/04/1986,7.166666667
01/07/1986,6.966666667
01/10/1986,6.833333333
01/01/1987,6.6
01/04/1987,6.266666667
01/07/1987,6
01/10/1987,5.833333333
01/01/1988,5.7
01/04/1988,5.466666667
01/07/1988,5.466666667
01/10/1988,5.333333333
01/01/1989,5.2
01/04/1989,5.233333333
